K67_Vmax25,K67_m,K67_LL,K34_Vmax25,K34_m,K34_LL,Guy_Vmax25,Guy_m,Guy_LL,K67_GPP_obs,K67_GPP_sim,K67_GPP_default,K67_NEE_obs,K67_NEE_sim,K67_NEE_default,K67_ET_obs,K67_ET_sim,K67_ET_default,K34_GPP_obs,K34_GPP_sim,K34_GPP_default,K34_NEE_obs,K34_NEE_sim,K34_NEE_default,K34_ET_obs,K34_ET_sim,K34_ET_default,Guy_GPP_obs,Guy_GPP_sim,Guy_GPP_default,Guy_NEE_obs,Guy_NEE_sim,Guy_NEE_default,Guy_ET_obs,Guy_ET_sim,Guy_ET_default
49.09161289,7.839070925,1.252160493,54.50947075,8.16,1.130519827,53.34947982,7.999535463,1.297021807,9.94743163,10.15390242,8.764109994,1.313718222,-0.637581413,-0.963406289,87.51619014,85.39985877,85.4982093,9.941109235,9.144467661,8.492260177,-3.158708938,-3.246867645,-1.432426588,94.84189723,96.49259763,94.78485647,10.32553311,10.18871005,8.724189971,-3.396335259,-3.50190021,0.152052219,84.03908023,84.84664487,83.63477433
49.97587342,7.483074,1.258140432,54.56627179,8.12258572,1.205013702,52.96268604,7.80282986,1.378252595,10.08769156,9.20767832,8.723268224,1.384062259,0.259718331,-0.82478811,77.1261155,76.17778011,75.84275323,8.797281032,8.895817252,8.721025818,-2.999427044,-2.35913075,-1.114887257,87.51646904,91.86527115,88.98965749,10.16373763,10.08531306,9.492260177,-3.184093775,-2.255243418,-0.546095222,76.8945585,79.85499565,77.72424897
48.83162852,7.260295022,1.229436729,52.71079175,7.72511588,1.265753218,51.32431502,7.492705451,1.284242894,9.365501514,9.609044793,10.08455313,1.265684614,-0.057288998,0.47309533,79.42773105,76.30563577,76.94752229,8.492260177,8.519422014,8.797281032,-2.680863254,-2.506379946,-1.053356963,93.01054018,95.33576601,93.33605673,9.578609573,9.696546644,9.721025818,-2.837330521,-2.529295545,-0.692082707,81.26458052,82.37676597,81.05251485
47.80836491,7.158006363,1.181597222,51.58421441,7.52267689,1.326534661,50.35261392,7.340341627,1.308588587,9.220259146,9.167673143,10.16049051,0.502466993,0.323355764,0.625161663,84.51247884,71.83226283,76.82003741,9.026046672,8.276151512,9.026046672,-3.317990833,-2.486556265,-0.822608955,80.57,87.37473376,83.43885623,9.252175824,9.565973144,10.1785571,-3.830848902,-2.357213959,-0.387390644,73.22264619,75.83961562,73.90358322
45.81557273,7.058559904,1.2,50.6674698,7.3024,1.322335961,48.87541583,7.180479952,1.358822746,8.764109994,9.460515628,10.85037108,1.233123898,0.089747379,1.268320556,87.25195554,87.4199279,86.47014106,8.949791459,7.963320348,8.949791459,-3.238349885,-1.425339954,-0.792742536,87.51646904,91.86527115,88.98965749,11.5951,10.5,1.01E+01,-3.516082693,-1.389441002,-0.427692132,78.71720971,81.87858225,79.63717878
44.83441683,6.993783304,1.152083333,48.22307052,6.968124665,1.184610513,48.16748223,6.980953985,1.249980371,8.723268224,9.543060212,9.955526152,0.622369378,-0.163646677,0.322796817,96.44135574,96.78454982,95.66226699,7.195921547,6.850925201,9.001942153,-3.079067991,-2.273269395,-0.825384787,94.84189723,98.47573755,95.85575203,10.6562,10.7,9.28E+00,-3.508170776,-2.338728066,-0.490037671,85.64561004,88.32375,86.23534952
42.08979009,6.930184805,1.195497246,45.19813771,6.596991634,1.110374493,45.52362698,6.76358822,1.218650901,10.08455313,10.51979958,10.64076946,-0.943917895,-1.030514699,0.83466652,102.2142196,96.78148091,98.25839851,7.653452829,6.844230649,8.926188701,-2.52158136,-1.69712154,-0.843523453,94.84189723,102.9378024,98.26526705,10.1524,10.5,9.16E+00,-3.309073001,-2.10932742,-0.617627142,86.68472553,91.53588429,88.43750401
42.04149509,6.891019798,1.131874537,43.03524527,6.213745781,1.038895376,44.38952717,6.55238279,1.199747787,10.16049051,10.64730753,9.365501514,-0.364759824,-1.37954506,-0.510407498,91.38958044,83.59599665,86.26714939,7.500942402,6.689488705,8.578609573,-2.840145149,-2.020743279,-1.223464755,106.0803689,109.969151,107.1195075,9.39796,10.4,9.45E+00,-3.517602126,-2.572561303,-0.809987266,92.82799009,94.22506812,92.65413232
46.63566588,7.083161563,1.165511641,47.20732973,7.109410178,1.056329629,47.83524382,7.096285871,1.231114809,10.85037108,10.27700432,9.220259146,0.514033389,-1.506510354,-0.681042925,84.19971556,83.63757632,83.05416321,9.40732274,7.838895701,8.252175824,-2.840145149,-2.884006661,-1.636224842,102.1673254,109.0524838,104.8636377,10.2261,10.6,9.31E+00,-3.253964162,-3.486610803,-0.798043992,88.71642309,93.57255207,90.45156851
47.58670643,7.2,1.209240648,48.84181243,7.289143371,1.076905304,49.03487533,7.244571686,1.190612151,9.955526152,9.794353574,8.764109994,-0.588671808,-0.402904921,-0.91647099,79.75232154,82.30200783,80.33162892,8.721025818,8.123641085,7.653452829,-3.39763178,-2.98928358,-2.245475529,98.50461133,106.2430356,101.6983143,10.4207,11.3,9.34E+00,-4.253759678,-3.150445548,-0.808622795,85.27873803,91.30934704,87.68247952
